,symboling,normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,highway-L/100km,city-L/100km,normalized-height,normalized-width,normalized-length,horsepower-binned,price-binned
0,3,122.0,alfa-romero,gas,std,two,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111.0,5000.0,21,27,16500.0,8.703703703703704,11.19047619047619,0.8160535117056856,0.8902777777777777,0.8111484863046613,Low,Low
1,1,122.0,alfa-romero,gas,std,two,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154.0,5000.0,19,26,16500.0,9.038461538461538,12.368421052631579,0.8762541806020067,0.9097222222222222,0.8226814031715521,Medium,Low
2,2,164.0,audi,gas,std,four,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102.0,5500.0,24,30,13950.0,7.833333333333333,9.791666666666666,0.9080267558528428,0.9194444444444445,0.8486304661220567,Low,Low
3,2,164.0,audi,gas,std,four,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115.0,5500.0,18,22,17450.0,10.681818181818182,13.055555555555555,0.9080267558528428,0.9222222222222223,0.8486304661220567,Low,Low
4,2,122.0,audi,gas,std,two,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,15250.0,9.4,12.368421052631579,0.8879598662207359,0.9208333333333333,0.8519942335415667,Low,Low
5,1,158.0,audi,gas,std,four,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,17710.0,9.4,12.368421052631579,0.931438127090301,0.9916666666666667,0.9259971167707832,Low,Low
6,1,122.0,audi,gas,std,four,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110.0,5500.0,19,25,18920.0,9.4,12.368421052631579,0.931438127090301,0.9916666666666667,0.9259971167707832,Low,Medium
7,1,158.0,audi,gas,turbo,four,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140.0,5500.0,17,20,23875.0,11.75,13.823529411764707,0.9347826086956522,0.9916666666666667,0.9259971167707832,Medium,Medium
8,2,192.0,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16430.0,8.10344827586207,10.217391304347826,0.9080267558528428,0.8999999999999999,0.849591542527631,Low,Low
9,0,192.0,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101.0,5800.0,23,29,16925.0,8.10344827586207,10.217391304347826,0.9080267558528428,0.8999999999999999,0.849591542527631,Low,Low
10,0,188.0,bmw,gas,std,two,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,20970.0,8.392857142857142,11.19047619047619,0.9080267558528428,0.8999999999999999,0.849591542527631,Medium,Medium
11,0,188.0,bmw,gas,std,four,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,21,28,21105.0,8.392857142857142,11.19047619047619,0.9080267558528428,0.8999999999999999,0.849591542527631,Medium,Medium
12,1,122.0,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121.0,4250.0,20,25,24565.0,9.4,11.75,0.931438127090301,0.9291666666666667,0.9082172032676598,Medium,Medium
13,0,122.0,bmw,gas,std,four,sedan,rwd,front,103.5,189.0,66.9,55.7,3230,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,30760.0,10.681818181818182,14.6875,0.931438127090301,0.9291666666666667,0.9082172032676598,Medium,Medium
14,0,122.0,bmw,gas,std,two,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,16,22,41315.0,10.681818181818182,14.6875,0.8979933110367894,0.9430555555555556,0.9312830370014417,Medium,High
15,0,122.0,bmw,gas,std,four,sedan,rwd,front,110.0,197.0,70.9,56.3,3505,ohc,six,209,mpfi,3.62,3.39,8.0,182.0,5400.0,15,20,36880.0,11.75,15.666666666666666,0.9414715719063546,0.9847222222222223,0.9466602594906295,Medium,High
16,2,121.0,chevrolet,gas,std,two,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,three,61,2bbl,2.91,3.03,9.5,48.0,5100.0,47,53,5151.0,4.433962264150943,5.0,0.8896321070234114,0.8374999999999999,0.6780394041326285,Low,Low
17,1,98.0,chevrolet,gas,std,two,hatchback,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,four,90,2bbl,3.03,3.11,9.6,70.0,5400.0,38,43,6295.0,5.465116279069767,6.184210526315789,0.8695652173913044,0.8833333333333333,0.7491590581451226,Low,Low
